,OrderWeek,Segment,City,State,Region,SubCategory,Discount
0,45,Consumer,Henderson,Kentucky,South,Bookcases,NO
1,45,Consumer,Henderson,Kentucky,South,Chairs,NO
2,23,Corporate,Los Angeles,California,West,Labels,NO
3,41,Consumer,Fort Lauderdale,Florida,South,Tables,YES
4,41,Consumer,Fort Lauderdale,Florida,South,Storage,YES
5,24,Consumer,Los Angeles,California,West,Furnishings,NO
6,24,Consumer,Los Angeles,California,West,Art,NO
7,24,Consumer,Los Angeles,California,West,Phones,YES
8,24,Consumer,Los Angeles,California,West,Binders,YES
9,24,Consumer,Los Angeles,California,West,Appliances,NO
10,24,Consumer,Los Angeles,California,West,Tables,YES
11,24,Consumer,Los Angeles,California,West,Phones,YES
12,15,Consumer,Concord,North Carolina,South,Paper,YES
13,49,Consumer,Seattle,Washington,West,Binders,YES
16,46,Consumer,Madison,Wisconsin,Central,Storage,NO
17,20,Consumer,West Jordan,Utah,West,Storage,NO
18,35,Consumer,San Francisco,California,West,Art,NO
19,35,Consumer,San Francisco,California,West,Phones,YES
20,35,Consumer,San Francisco,California,West,Binders,YES
21,49,Corporate,Fremont,Nebraska,Central,Art,NO
22,49,Corporate,Fremont,Nebraska,Central,Appliances,NO
23,28,Consumer,Philadelphia,Pennsylvania,East,Chairs,YES
24,39,Consumer,Orem,Utah,West,Tables,NO
25,2,Consumer,Los Angeles,California,West,Binders,YES
27,38,Consumer,Philadelphia,Pennsylvania,East,Bookcases,YES
29,38,Consumer,Philadelphia,Pennsylvania,East,Furnishings,YES
30,38,Consumer,Philadelphia,Pennsylvania,East,Envelopes,YES
31,38,Consumer,Philadelphia,Pennsylvania,East,Art,YES
33,38,Consumer,Philadelphia,Pennsylvania,East,Art,YES
34,42,Home Office,Houston,Texas,Central,Paper,YES
35,49,Corporate,Richardson,Texas,Central,Phones,YES
37,52,Home Office,Houston,Texas,Central,Envelopes,YES
38,52,Home Office,Houston,Texas,Central,Bookcases,YES
39,52,Home Office,Houston,Texas,Central,Chairs,YES
40,52,Home Office,Houston,Texas,Central,Phones,YES
41,36,Corporate,Naperville,Illinois,Central,Phones,YES
42,28,Corporate,Los Angeles,California,West,Storage,NO
43,38,Corporate,Melbourne,Florida,South,Storage,YES
44,10,Corporate,Eagan,Minnesota,Central,Accessories,NO
45,10,Corporate,Eagan,Minnesota,Central,Binders,NO
46,43,Consumer,Westland,Michigan,Central,Storage,NO
47,25,Consumer,Dover,Delaware,East,Accessories,NO
48,25,Consumer,Dover,Delaware,East,Phones,NO
49,16,Consumer,New Albany,Indiana,Central,Binders,NO
50,2,Consumer,Los Angeles,California,West,Accessories,NO
51,16,Consumer,New Albany,Indiana,Central,Furnishings,NO
52,16,Consumer,New Albany,Indiana,Central,Chairs,NO
53,49,Corporate,New York City,New York,East,Fasteners,NO
54,49,Corporate,New York City,New York,East,Phones,NO
55,24,Consumer,Troy,New York,East,Storage,NO
56,24,Consumer,Troy,New York,East,Paper,NO
57,24,Consumer,Troy,New York,East,Chairs,YES
58,24,Consumer,Troy,New York,East,Paper,NO
59,24,Consumer,Troy,New York,East,Accessories,NO
60,24,Consumer,Troy,New York,East,Binders,YES
61,24,Consumer,Troy,New York,East,Art,NO
62,48,Consumer,Los Angeles,California,West,Accessories,NO
63,48,Consumer,Los Angeles,California,West,Binders,YES
64,48,Consumer,Los Angeles,California,West,Paper,NO
65,48,Consumer,Los Angeles,California,West,Furnishings,NO
66,18,Home Office,Chicago,Illinois,Central,Chairs,YES
67,49,Corporate,Gilbert,Arizona,West,Art,YES
68,49,Corporate,Gilbert,Arizona,West,Phones,YES
69,22,Consumer,Springfield,Virginia,South,Paper,NO
70,37,Consumer,New York City,New York,East,Binders,YES
71,37,Consumer,Jackson,Michigan,Central,Paper,NO
72,17,Consumer,Memphis,Tennessee,South,Chairs,YES
73,17,Consumer,Memphis,Tennessee,South,Furnishings,YES
74,17,Consumer,Memphis,Tennessee,South,Storage,YES
77,49,Corporate,Houston,Texas,Central,Storage,YES
79,23,Corporate,Decatur,Alabama,South,Appliances,NO
80,23,Corporate,Decatur,Alabama,South,Binders,NO
81,41,Consumer,San Francisco,California,West,Art,NO
82,41,Consumer,San Francisco,California,West,Storage,NO
83,36,Corporate,Durham,North Carolina,South,Envelopes,YES
84,46,Home Office,Chicago,Illinois,Central,Storage,YES
85,21,Consumer,Columbia,South Carolina,South,Chairs,NO
86,43,Consumer,Rochester,Minnesota,Central,Accessories,NO
87,43,Consumer,Rochester,Minnesota,Central,Labels,NO
88,14,Home Office,Houston,Texas,Central,Storage,YES
89,37,Corporate,Los Angeles,California,West,Art,NO
90,37,Corporate,Los Angeles,California,West,Phones,YES
91,37,Corporate,Los Angeles,California,West,Paper,NO
92,5,Consumer,Minneapolis,Minnesota,Central,Paper,NO
93,5,Consumer,Minneapolis,Minnesota,Central,Furnishings,NO
94,5,Consumer,Minneapolis,Minnesota,Central,Binders,NO
96,45,Home Office,New York City,New York,East,Furnishings,NO
97,24,Consumer,San Francisco,California,West,Binders,YES
98,36,Corporate,Saint Paul,Minnesota,Central,Appliances,NO
99,35,Home Office,Chicago,Illinois,Central,Paper,YES
100,35,Home Office,Chicago,Illinois,Central,Accessories,YES
102,48,Consumer,Rochester,Minnesota,Central,Paper,NO
103,46,Consumer,Aurora,Colorado,West,Accessories,YES
104,46,Consumer,Aurora,Colorado,West,Furnishings,YES
106,47,Consumer,Charlotte,North Carolina,South,Accessories,YES
107,47,Consumer,Charlotte,North Carolina,South,Phones,YES
108,47,Consumer,Charlotte,North Carolina,South,Art,YES
109,42,Home Office,Orland Park,Illinois,Central,Accessories,YES
110,52,Corporate,New York City,New York,East,Furnishings,NO
111,44,Consumer,Urbandale,Iowa,Central,Art,NO
112,44,Consumer,Urbandale,Iowa,Central,Binders,NO
114,35,Consumer,Columbus,Ohio,East,Envelopes,YES
115,35,Consumer,Columbus,Ohio,East,Paper,YES
116,35,Consumer,Columbus,Ohio,East,Envelopes,YES
117,10,Consumer,Seattle,Washington,West,Tables,NO
119,23,Consumer,Wilmington,Delaware,East,Furnishings,NO
120,23,Consumer,Wilmington,Delaware,East,Binders,NO
121,23,Consumer,Wilmington,Delaware,East,Storage,NO
122,23,Consumer,Wilmington,Delaware,East,Envelopes,NO
123,23,Consumer,Wilmington,Delaware,East,Phones,NO
124,52,Home Office,Houston,Texas,Central,Chairs,YES
125,38,Consumer,Bloomington,Illinois,Central,Tables,YES
127,44,Consumer,Phoenix,Arizona,West,Storage,YES
128,44,Home Office,Los Angeles,California,West,Chairs,YES
129,44,Home Office,Los Angeles,California,West,Furnishings,NO
130,5,Corporate,Columbus,Ohio,East,Phones,YES
131,5,Corporate,Columbus,Ohio,East,Paper,YES
132,5,Corporate,Columbus,Ohio,East,Fasteners,YES
133,41,Consumer,Roseville,California,West,Paper,NO
134,41,Consumer,Roseville,California,West,Paper,NO
135,41,Consumer,Roseville,California,West,Art,NO
136,41,Consumer,Roseville,California,West,Fasteners,NO
137,41,Consumer,Roseville,California,West,Binders,YES
138,41,Consumer,Roseville,California,West,Supplies,NO
140,36,Corporate,Philadelphia,Pennsylvania,East,Furnishings,YES
141,38,Corporate,San Francisco,California,West,Art,NO
142,38,Corporate,San Francisco,California,West,Envelopes,NO
143,38,Corporate,San Francisco,California,West,Paper,NO
144,51,Consumer,Independence,Missouri,Central,Appliances,NO
145,37,Consumer,Pasadena,California,West,Storage,NO
